Ticker,Company,Price,P/E Ratio
MOS,The Mosaic Company,23.95,171.07143
PLTR,Palantir Technologies Inc.,155.575,174.80338
AXON,"Axon Enterprise, Inc.",446.31,181.42682
FANG,"Diamondback Energy, Inc.",191.755,197.68556
GPC,Genuine Parts Company,98.59,224.06818
CIEN,Ciena Corporation,553.7,346.0625
PSKY,Paramount Skydance Corporation,10.675,355.83334
TSLA,"Tesla, Inc.",436.6,393.33334
MCHP,Microchip Technology Incorporated,94.57,429.86365
CSGP,"CoStar Group, Inc.",32.76,467.99997
DDOG,"Datadog, Inc.",242.905,639.2237
